,0
1,"Compared with the control, the results showed that supplementation with lycopene powder gave a higher a<sup>*</sup> value (redness), and increased the levels of vitamin A and vitamin E. Increasing dietary lycopene powder resulted in a lower degree of lipid and protein oxidation, as evidenced by lower contents of thiobarbituric acid-reactive substance and carbonyl compounds, and higher levels of sulfhydryl groups."
2,"Dietary lycopene powder is an effective antioxidant that blocks the oxidation of meat proteins and lipids, and has a positive effect on increasing lamb meat quality during storage. © 2018 Society of Chemical Industry."
0,"Aroclor 1254 is the commercial mixture of highly toxic environmental pollutant, polychlorinated biphenyls (PCBs). Being immensely durable, it is extensively used and widely distributed. Studies show that Aroclor 1254 causes a variety of adverse health effects through free radical generation. The present investigation was designed to check the effect of Aroclor 1254 on the glucose transporter protein, GLUT4, which plays a key role in glucose homeostasis. The protective role of lycopene against the adverse effect of Aroclor 1254 was also tested. Group 1 rats received corn oil as vehicle and served as control. Groups 2, 3, and 4 were administered with Aroclor 1254 [2 mg kg(-1) body weight (b.w.) day(-1)] intraperitoneally for 30 days. Groups 3 and 4 received lycopene (2 and 4 mg kg(-1) b.w. day(-1), respectively) orally in addition to Aroclor 1254. After 30 days, animals were euthanized and the skeletal muscles were dissected to determine the following parameters: GLUT4 messenger RNA (mRNA), GLUT4 protein (both plasma membrane and cytosolic fractions), and (14)C-2-deoxyglucose uptake. Though there was no change in GLUT4 mRNA and fasting plasma glucose levels, Aroclor 1254 significantly decreased the GLUT4 protein level in both the subcellular fractions of the gracilis and triceps muscles. Most important, (14)C-2-deoxyglucose uptake showed a significant decrease in Aroclor 1254 alone treated rats, and Aroclor 1254 plus 4 mg lycopene supplementation treatment maintained the same at par with control. Thus, Aroclor 1254 has adverse effects on GLUT4 translocation and (14)C-2-deoxyglucose uptake, and lycopene administered along with Aroclor 1254 has a protective role over it."
0,"Oxidative stress is considered an important pathogenic process of cardiac hypertrophy. Lycopene is a kind of carotenoid antioxidant that protects the cardiovascular system, so we hypothesized that lycopene might inhibit cardiac hypertrophy by attenuating oxidative stress. Phenylephrine and pressure overload were used to set up the hypertrophic models in vitro and in vivo respectively. Our data revealed that treatment with lycopene can significantly block pressure overload-induced cardiac hypertrophy in in vitro and in vivo studies. Further studies demonstrated that lycopene can reverse the increase in reactive oxygen species (ROS) generation during the process of hypertrophy and can retard the activation of ROS-dependent pro-hypertrophic MAPK and Akt signaling pathways. In addition, protective effects of lycopene on the permeability transition pore opening in neonatal cardiomyocytes were observed. Moreover, we demonstrated that lycopene restored impaired antioxidant response element (ARE) activity and activated ARE-driven expression of antioxidant genes. Consequently, our findings indicated that lycopene inhibited cardiac hypertrophy by suppressing ROS-dependent mechanisms."
0,"This study evaluated the effects of tomato sauce and lycopene on hepatic and cardiac cell biomarkers in rats fed a high-fat diet. Animals were split into five groups: control group, high-fat group (HG), high-fat tomato sauce group, high-fat lycopene 2 mg, and high-fat lycopene 4 mg. Food and water were offered <i>ad libitum</i>, whereas tomato sauce and lycopene (2 and 4 mg/day) were offered daily for 60 days. Body, heart, and liver weights, cardiosomatic and hepatosomatic indices, and serum parameters were also analyzed in rats. The animals' hearts and liver were processed, and cells were examined by flow cytometry. Results showed that the groups receiving tomato sauce and lycopene had lower glycemia. The serum concentration of high-density lipoprotein cholesterol, hepatic enzymes, and tumor necrosis factor-<i>α</i> did not change upon treatment. Tomato sauce and lycopene supplementation did not increase interleukin-1<i>β</i> in response to a high-fat diet. Cell cycle analysis of cardiac and liver cells showed a lower percentage of cells in the G<sub>0</sub>/G<sub>1</sub> phase and an increase in the G<sub>2</sub>/M phase in HG. Both lycopene and tomato sauce reversed this effect. Both lycopene and tomato sauce reversed this effect and prevented high-fat diet-stimulated cardiac and liver cell death. Supplementation of tomato sauce and lycopene showed beneficial effects on cardiac and liver cell metabolism; therefore, it is suggested as a nutritional approach for the prevention and treatment of cardiovascular diseases and nonalcoholic hepatic steatosis."
0,"Identification of a new agent from natural products for the protection of embryonic anomalies is potentially valuable. To investigate the protective effect exerted by lycopene against nicotine-induced malformations, mouse embryos in embryonic day 8.5 with yolk sac placentas were cocultured with 1 mM nicotine and/or lycopene (1 × 10<sup>-6</sup>, 1 × 10<sup>-5</sup> <i>μ</i>M) for 48 h. The morphological defects and apoptotic cell deaths in the embryo and yolk sac placenta of the nicotine group were significantly increased. Exposure to nicotine resulted in reduced superoxide dismutase (SOD) activity and cytoplasmic SOD and cytoplasmic glutathione peroxidase mRNA levels, but increased lipid peroxidation level in embryos. Moreover, treatment with nicotine resulted in aggravated expressions of the mRNA or protein level of antiapoptotic (BCL2-associated X protein, B-cell lymphoma-extralarge, and caspase 3), anti-inflammatory (nuclear factor kappa-light-chain-enhancer of activated B cells and tumor necrosis factor-alpha), and vasculogenic (vascular endothelial growth factor-alpha, insulin-like growth factor-1, alpha smooth muscle actin, transforming growth factor-beta 1, and hypoxia inducible factor-1 alpha) factors in the embryo and yolk sac placenta. However, all the parameters were significantly improved by treatment with lycopene, as compared to the nicotine group. These findings indicate the potential of lycopene as a protective agent against embryonic anomalies and yolk sac vasculogenic and placenta-forming defects induced by nicotine through modulations of oxidative, apoptotic, vasculogenic, and inflammatory activities."
0,"Regulator of calcineurin 1 (RCAN1) is located on the Down syndrome critical region (DSCR) locus in human chromosome 21. Oxidative stress and overexpression of RCAN1 are implicated in neuronal impairment in Down's syndrome (DS) and Alzheimer's disease (AD). Serum level of lycopene, an antioxidant pigment, is low in DS and AD patients, which may be related to neuronal damage. The present study is to investigate whether lycopene inhibits apoptosis by reducing ROS levels, NF-κB activation, expression of the apoptosis regulator Nucling, cell viability, and indices of apoptosis (cytochrome c release, caspase-3 activation) in RCAN1-overexpressing neuronal cells."
1,"Cells transfected with either pcDNA or RCAN1 were treated with or without lycopene. Lycopene decreased intracellular and mitochondrial ROS levels, NF-κB activity, and Nucling expression while it reversed decrease in mitochondrial membrane potential, mitochondrial respiration, and glycolytic function in RCAN1-overexpressing cells. Lycopene inhibited cell death, DNA fragmentation, caspase-3 activation, and cytochrome c release in RCAN1-overexpressing cells."
2,"Lycopene inhibits RCAN1-mediated apoptosis by reducing ROS levels and by inhibiting NF-κB activation, Nucling induction, and the increase in apoptotic indices in neuronal cells. Consumption of lycopene-rich foods may prevent oxidative stress-associated neuronal damage in some pathologic conditions such as DS or AD."
0,"<b></b> This study investigates lycopene's preventive efficacy in skeletal muscle ischemia-reperfusion (I/R) induced lung injury. Thirty-two rats were randomly assigned to control group, lycopene group, I/R group and I/R + lycopene group. In the lycopene and I/R + lycopene groups, the rats initially received 10 mg/kg/day lycopene orally for 15 days. Then, dissection around the abdominal aorta was performed in all rats under general anesthesia. The aorta was clamped at the infrarenal level in the I/R group and I/R + lycopene group for two hours before two hours of reperfusion. The mean serum levels of malondialdehyde (53.0 ± 20.14 nmol/mL) and superoxide dismutase (1.03 ± 0.16 U/mL) were higher and lower in the I/R group than the other three groups, respectively (p < 0.001). The mean serum IMA level of I/R + lycopene group (0.42 ± 0.04 abs/u) was lower than the I/R group (0.47 ± 0.04 abs/u) (p = 0.015). The mean tissue malondialdehyde levels of I/R group (69.10 ± 11.55 nmol/mL) and I/R + lycopene group (68.36 ± 21.17 nmol/mL) were high compared to the control group (49.87 ± 6.52 nmol/mL) and lycopene group (47.82 ± 4.44 nmol/mL) (p = 0.002). The mean tissue glutathione peroxidase (p < 0.001) and superoxide dismutase (p = 0.001) levels of I/R group (121.81 ± 43.59 nmol/mL and 25.17 ± 8.69 U/mL) were low compared to the control group (236.12 ± 18.01 nmol/mL and 46.30 ± 5.17 U/mL), lycopene group (227.52 ± 16.92 nmol/mL and 45.82 ± 4.02 U/mL), and I/R + lycopene group (176.02 ± 24.27 nmol/mL and 35.20 ± 4.85 U/mL). The histopathological analyses of I/R + lycopene group indicated less significant changes than the control group. Tissue damage in the I/R + lycopene group was less prominent than the I/R group. These findings suggest oral lycopene supplementation as a promising prevention against skeletal muscle I/R caused lung injury."
0,"This study was conducted to evaluate the effects of dietary lycopene supplementation on growth performance, antioxidant status, and muscle nuclear transcription factor [Kelch like-ECH-associated protein 1 (Keap1) and (erythroid-derived 2)-like 2 (Nrf2)] expressions in broiler chickens exposed to heat stress (HS). A total of 180 one-day-old male broiler chicks (Ross 308) were assigned randomly to one of 2×3 factorially arranged treatments: two housing temperatures (22°C for 24 h/d; thermoneutral, TN or 34°C for 8 h/d HS) and three dietary lycopene levels (0, 200, or 400 mg/kg). Each treatment consisted of three replicates of 10 birds. Birds were reared to 42 d of age. Heat stress caused reductions in feed intake and weight gain by 12.2 and 20.7% and increased feed efficiency by 10.8% (P<0.0001 for all). Increasing dietary lycopene level improved performance in both environments. Birds reared under the HS environment had lower serum and muscle lycopene concentration (0.34 vs. 0.50 μg/mL and 2.80 vs. 2.13 μg/g), activities of superoxide dismutase (151 vs. 126 U/mL and 131 vs. 155 U/mg protein), glutathione peroxidase (184 vs. 154 U/mL and 1.39 vs. 1.74 U/mg protein), and higher malondialdehyde (MDA) concentration (0.53 vs. 0.83 μg/mL and 0.78 vs. 0.45 μg/ mg protein) than birds reared under the TN environment. Changes in levels of lycopene and MDA and activities of enzymes in serum and muscle varied by the environmental temperature as dietary lycopene level increased. Moreover, increasing dietary lycopene level suppressed muscle Keap1 expression and enhanced muscle Nrf2 expression, which had increased by 150% and decreased by 40%, respectively in response to HS. In conclusion, lycopene supplementation alleviates adverse effects of HS on performance through modulating expressions of stress-related nuclear transcription factors."
0,"The objective of this study was to evaluate the effect of different levels of lycopene supplementation on the carcass traits, meat quality, concentration of lipid oxidation products and antioxidant potential in the meat and liver of finishing barrows and gilts."
1,"A total of 40 barrows and 40 gilts were allotted in a completely randomized block design, arranged in a 2×5 factorial scheme, consisting of two sexes (barrows and gilts) and five dietary levels of lycopene (0, 12.5, 25.0, 37.5, and 50.0 mg/kg). In addition, four storage times (0, 24, 48, and 72 h), at 4°C, were added to the model to evaluate the longissimus lumborum muscle."
2,"An interaction (p = 0.010) was observed between storage periods and dietary lycopene levels. The unfolding of the interaction (lycopene×period) showed a decreasing concentration of malondialdehyde concentration as the dietary lycopene increased, at all storage periods. No interactions (p>0.050) were observed for the 2,2 diphenyl 1 picrylhydrazyl (DPPH) in the pork. However, the percentage of DPPH radical inhibition reduced (p = 0.001) up to 72 h. Additionally, there was a linear increase (p = 0.001) in the capture of DPPH radicals by antioxidants, as the dietary lycopene increased. No interactions were observed (p>0.05) between the evaluated factors in liver. However, lipid oxidation was reduced by supplementing lycopene in pig diets. The capture of the DPPH radical, resulted increase in the antioxidant power exerted by lycopene in the liver (p = 0.001). The concentrations of the thiobarbituric acid reactive substances and DPPH in the liver were affected by sex (p = 0.001)."
3,"Dietary supplementation of lycopene reduced the water loss during thawing and was effective in protecting against oxidation of the longissimus lumborum muscle and liver until 72 hours of storage, and the best results were obtained by supplementing with 50.0 mg of lycopene/kg of diet."
0,"Recent experiments showed a potential cardiotoxic effect of the macrolide antibiotic (tulathromycin). This study was performed to investigate whether diclofenac sodium (DFS) potentiates the cardiotoxicity of tulathromycin and increases the cardioprotective effects of lycopene against DFS and tulathromycin. Seven groups (eight per group) of adult Swiss albino mice received saline (control), tulathromycin (a single subcutaneous dose of 28 mg/kg/bw on day 14), DFS (a single oral dose of 100 mg/kg/bw on day 14), tulathromycin plus DFS, or lycopene (oral, 10 mg/kg/bw daily for 15 d) combined with tulathromycin, DFS, or both. Compared to the control group, the administration of tulathromycin or DFS (individually or in combination) caused significantly elevated (<i>p</i> < 0.05) serum levels of Creatine kinase-myocardial B fraction (CK-MB), lactate dehydrogenase, and cardiac-specific troponin-T and tissue levels of nitric oxide and malondialdehyde that were accompanied by significantly decreased tissue reduced glutathione content and glutathione peroxidase, superoxide dismutase, and catalase antioxidant enzyme activity. Upon histopathological and immunohistochemical examination, the mean pathology scores and the percentages of caspase-3-, Bax-, and CK-positive regions were significantly higher in the tulathromycin- and/or DFS-treated groups than in control mice. For all these parameters, the pathological changes were more significant in the tulathromycin-DFS combination group than in mice treated with either drug individually. Interestingly, co-administration of lycopene with tulathromycin and/or DFS significantly ameliorated the changes described above. In conclusion, DFS could potentiate the cardiotoxic effects of tulathromycin, whereas lycopene can serve as a cardioprotective agent against DFS and tulathromycin."
0,"<i>Objective.</i> Transplant arteriosclerosis is considered one of the major factors affecting the survival time of grafts after organ transplantation. In this study, we proposed a hypothesis of whether lycopene can protect grafted vessels through regulating key proteins expression involved in arteriosclerosis. <i>Methods.</i> Allogeneic aortic transplantation was performed using Brow-Norway rats as donors and Lewis rats as recipients. After transplantation, the recipients were divided into two groups: the allograft group and the lycopene group. Negative control rats (isograft group) were also established. Histopathological staining was performed to observe the pathological changes, and the expression levels of Ki-67, caspase-3, Rho-associated kinases, intercellular adhesion molecules (ICAM-1), and eNOS were assessed. Western blotting analysis and real-time PCR were also performed for quantitative analysis. <i>Results.</i> The histopathological staining showed that vascular stenosis and intimal thickening were not evident after lycopene treatment. The Ki-67, ROCK1, ROCK2, and ICAM-1 expression levels were significantly decreased. However, eNOS expression in grafted arteries and plasma cGMP concentration were increased after lycopene treatment. <i>Conclusions.</i> Lycopene could alleviate vascular arteriosclerosis in allograft transplantation via downregulating Rho-associated kinases and regulating key factor expression through the NO/cGMP pathways, which may provide a potentially effective method for transplant arteriosclerosis in clinical organ transplantation."
0,"Platelet-derived growth factor (PDGF) is a potent stimulator of growth and motility of smooth muscle cells (SMCs) and fibroblasts. Abnormalities of PDGF/PDGF receptor (PDGFR) are thought to contribute to vascular diseases and malignancy. We previously showed that natural carotenoid lycopene can directly bind to PDGF-BB and affect its related functions in vascular SMCs. In this study we examined lycopene effect on PDGF-AA/-AB-induced signaling and migration in SMCs and fibroblasts. We found that lycopene inhibited PDGF-AA-induced SMC and fibroblast migration in a concentration-dependent manner. Lycopene reduced PDGF-AA signaling, including phosphorylation in PDGFR-alpha and its downstream protein kinases/enzymes. It also inhibited PDGF-AB-induced signaling and cell migration. However, lycopene did not affect PDGF-induced reactive oxygen species production and H2O2-induced PDGFR phosphorylation. The binding analysis revealed that lycopene but not beta-carotene could directly bind to PDGF-AA in vitro and in plasma and this binding competitively inhibited lycopene interaction with PDGF-BB, suggesting that lycopene bound to PDGF-AA/-BB at a homologous/similar region within PDGF. Moreover, the docking and binding analyses predicted that the lycopene-binding region within PDGF was located at loop 2 region. Taken together, we provide here evidence that lycopene interacts with PDGF-AA/-AB and compromises their intracellular signaling, leading to a marked inhibition on PDGF-AA/-AB-induced migration in both SMCs and fibroblasts. We also predicted its binding region within PDGF and proved its anti-vascular injury effect in vivo. The results, together with our previous findings, suggest lycopene special affinity/effect for PDGF family and its possible application in prevention in vascular diseases and malignancy."
0,"Oral uptake of lycopene has been shown to be beneficial for preventing myocardial ischemia-reperfusion (I/R) injury. However, the strong first-pass metabolism of lycopene influences its bioavailability and impedes its clinic application. In this study, we determined an intravenous (IV) administration dose of lycopene protects against myocardial infarction (MI) in a mouse model, and investigated the effects of acute lycopene administration on reactive oxygen species (ROS) production and related signaling pathways during myocardial I/R."
1,"In this study, we established both in vitro hypoxia/reoxygenation (H/R) cell model and in vivo regional myocardial I/R mouse model by ligating left anterior artery descending. TTC dual staining was used to assess I/R induced MI in the absence and presence of acute lycopene administration via tail vein injection."
2,"Lycopene treatment (1 μM) before reoxygenation significantly reduced cardiomyocyte death induced by H/R. Intravenous administration of lycopene to achieve 1 μM concentration in circulating blood significantly suppressed MI, ROS production, and JNK phosphorylation in the cardiac tissue of mice during in vivo regional I/R."
3,Elevating circulating lycopene to 1 μM via IV injection protects against myocardial I/R injury through inhibition of ROS accumulation and consequent inflammation in mice.
0,"Nowadays, drugs protecting ischemia/reperfusion (I/R) myocardium become more suitable for clinic. It has been confirmed lycopene has various protections, but lacking the observation of its effect on endoplasmic reticulum stress (ERS)-mediated apoptosis caused by hypoxia/reoxygenation (H/R). This study aims to clarify the protective effect of lycopene on ERS induced by H/R in H9C2 cardiomyocytes. Detect the survival rate, lactic dehydrogenase (LDH) activity, apoptosis ratio, glucose-regulated proteins 78 (GRP78), C/EBP homologous protein (CHOP), c-Jun-N-terminal protein Kinase (JNK) and Caspase-12 mRNA and protein expression and phosphorylation of JNK (p-JNK) protein expression. LDH activity, apoptosis ratio and GRP78 protein expression increase in the H/R group, reduced by lycopene. The survival rate reduces in the H/R and thapsigargin (TG) groups; lycopene and 4-phenyl butyric acid (4-PBA) can improve it caused by H/R, lycopene also can improve it caused by TG. The apoptosis ratio, the expression of GRP78, CHOP and Caspase-12 mRNA and protein and p-JNK protein increase in the H/R and TG groups, weaken in the lycopene+H/R, 4-PBA+H/R and lycopene+TG groups. There is no obvious change in the expression of JNK mRNA or protein. Hence, our results provide the evidence that 10 μM lycopene plays an obviously protective effect on H/R H9C2 cardiomyocytes, realized through reducing ERS and apoptosis. The possible mechanism may be related to CHOP, p-JNK and Caspase-12 pathways."
0,To investigate the effects of lycopene on primary cultured neonatal mouse cardiomyocytes with hypoxia/reoxgenation (H/R) injury and explore related mechanism.
1,"Primary cultured neonatal mouse cardiomyocytes were randomly divided to control group (control); lycopene group (5 μmol/L, lyc); H/R group (4 hours hypoxia followed by 6 hours reoxgenation); lycopene+ H/R group (lyc+ H/R, the cardiomyocytes were incubated with 5 μmol/L lycopene for 4 hours before H/R treatment). The cell viability of cardiomyocytes was assessed by CCK-8 assay. The apoptotic rate of cardiomyocytes was evaluated by flow cytometry using AnnexinV-PI double staining. Western blot was used to determine the GRP78, CHOP, Bax and Bcl-2 protein expression in cardiomyocytes. The mRNA expressions of ATF6、eIF2α and sXbp-1 were detected by real-time PCR. The fluorescence intensity for reactive oxygen species (ROS) in cardiomyocytes was measured with Olympus fluorescence microscope."
2,"Compared to control group, the cell viability of cardiomyocytes was significantly reduced ((64.28±6.12)% vs. (100.00±4.98)%, P<0.01), the apoptotic rate ((24.42±1.76)% vs. (5.16±1.31)%, P<0.01) and ratio of Bax/Bcl-2 (2.33±0.20 vs. 1.00±0.09, P<0.01) significantly increased, the ATF6, eIF2α and sXbp-1 mRNA expression, the CHOP and GRP78 protein expression (1.98±0.15 vs. 1.00±0.12, 2.09±0.11 vs. 1.00±0.09) as well as fluorescence intensity for ROS ((262.13±22.03)% vs. (100.00±12.35)%) were markedly increased in H/R group (all P<0.01). Compared to the H/R group, pretreatment with lycopene markedly improved the cell viability of cardiomyocytes ((81.75±6.85)%, P<0.01), significantly decreased the apoptotic rate ((17.24±2.02)%, P<0.01) and ratio of Bax/Bcl-2(1.64±0.13, P<0.01), significantly down-regulated the mRNA expression levels of ATF6, eIF2α and sXbp-1, and the protein expression levels of CHOP (1.54±0.12) and GRP78 (1.53±0.12), significantly reduced the fluorescence intensity for ROS ((171.18±19.09)%, all P<0.01)."
3,"Lycopene could attenuate hypoxia/reoxygenation-injury in primary cultured neonatal mouse cardiomyocytes, possibly through inhibiting the ER stress and alleviating the ER stress-induced apoptosis."
0,"Tardive Dyskinesia is a severe side effect of chronic neuroleptic treatment consisting of abnormal involuntary movements, characterized by orofacial dyskinesia. The study was designed to investigate the protective effect of lycopene against haloperidol induced orofacial dyskinesia possibly by neurochemical and neuroinflammatory modulation in rats. Rats were administered with haloperidol (1mg/kg, i.p for 21 days) to induce orofacial dyskinesia. Lycopene (5 and 10mg/kg, p.o) was given daily 1hour before haloperidol treatment for 21 days. Behavioral observations (vacuous chewing movements, tongue protrusions, facial jerking, rotarod activity, grip strength, narrow beam walking) were assessed on 0th, 7th(,) 14th(,) 21st day after haloperidol treatment. On 22nd day, animals were killed and striatum was excised for estimation of biochemical parameters (malondialdehyde, nitrite and endogenous enzyme (GSH), pro-inflammatory cytokines [Tumor necrosis factor, Interleukin 1β, Interleukin 6] and neurotransmitters level (dopamine, serotonin, nor epinephrine, 5-Hydroxyindole acetic acid (5-HIAA), Homovanillic acid, 3,4- dihydroxyphenylacetic acid. Haloperidol treatment for 21 days impaired muscle co-ordination, motor activity and grip strength with an increased in orofacial dyskinetic movements. Further free radical generation increases MDA and nitrite levels, decreasing GSH levels in striatum. Neuroinflammatory markers were significantly increased with decrease in neurotransmitters levels. Lycopene (5 and 10mg/kg, p.o) treatment along with haloperidol significantly attenuated impairment in behavioral, biochemical, neurochemical and neuroinflammatory markers. Results of the present study attributed the therapeutic potential of lycopene in the treatment (prevented or delayed) of typical antipsychotic induced orofacial dyskinesia. "
